e1,e2
http://kg1.example.org/resource/Inception,http://kg2.example.org/resource/Inception_2010
http://kg1.example.org/resource/The_Dark_Knight,http://kg2.example.org/resource/Dark_Knight_2008
http://kg1.example.org/resource/Interstellar,http://kg2.example.org/resource/Interstellar_2014
http://kg1.example.org/resource/Avatar,http://kg2.example.org/resource/Avatar_2009
http://kg1.example.org/resource/Titanic,http://kg2.example.org/resource/Titanic_1997
http://kg1.example.org/resource/The_Matrix,http://kg2.example.org/resource/Matrix_1999
http://kg1.example.org/resource/Gladiator,http://kg2.example.org/resource/Gladiator_2000
http://kg1.example.org/resource/Parasite,http://kg2.example.org/resource/Parasite_2019
http://kg1.example.org/resource/Joker,http://kg2.example.org/resource/Joker_2019
http://kg1.example.org/resource/Christopher_Nolan,http://kg2.example.org/resource/Chris_Nolan
http://kg1.example.org/resource/Christopher_Nolan,http://kg2.example.org/resource/Christopher_Nolan
http://kg1.example.org/resource/James_Cameron,http://kg2.example.org/resource/James_Cameron
http://kg1.example.org/resource/The_Wachowskis,http://kg2.example.org/resource/Wachowski_Sisters
http://kg1.example.org/resource/Ridley_Scott,http://kg2.example.org/resource/Ridley_Scott
http://kg1.example.org/resource/Bong_Joon_Ho,http://kg2.example.org/resource/Bong_Joon_Ho
http://kg1.example.org/resource/Todd_Phillips,http://kg2.example.org/resource/Todd_Phillips
http://kg1.example.org/resource/Science_Fiction,http://kg2.example.org/resource/SciFi
http://kg1.example.org/resource/Science_Fiction,http://kg2.example.org/resource/Science_Fiction
http://kg1.example.org/resource/Action,http://kg2.example.org/resource/Action_Film
http://kg1.example.org/resource/Romance,http://kg2.example.org/resource/Romantic_Drama
http://kg1.example.org/resource/Thriller,http://kg2.example.org/resource/Thriller
http://kg1.example.org/resource/Drama,http://kg2.example.org/resource/Drama
